1|	|8438
~~2245|	|15174
~~2245|	|15513
~~2246|	|19441
~~2246|	|20927
~~2246|	|23142
~~2246|	|113563
~~2247|	|21125
~~2247|	|22077
~~2247|	|23193
~~2248|	|17526
~~2248|	|17586
~~2248|	|20927
~~2248|	|21107
~~2248|	|23095
~~2248|	|23137
~~2248|	|23150
~~2248|	|23193
~~2248|	|24534
~~2249|	|72963
~~2250|	|72963
~~2251|	|58645
~~2252|	|35482
~~2253|	|1206
~~2254|	|236409
~~2255|	|238090
~~2255|	|238397
~~2255|	|239768
~~2256|	|236830
~~2256|	|237873
~~2257|	|239768
~~2258|	|239768
~~2259|	|239768
~~2260|	|236410
~~2261|	|236410
~~2262|	|236446
~~2262|	|236830
~~2262|	|237873
~~2262|	|238090
~~2262|	|238397
~~2262|	|239099
~~2262|	|239766
~~2262|	|239768
~~2263|	|236446
~~2263|	|236830
~~2263|	|237873
~~2263|	|238090
~~2263|	|238397
~~2263|	|239099
~~2263|	|239766
~~2263|	|239768
~~2264|	|238090
~~2264|	|238397
~~2265|	|239768
~~2266|	|236830
~~2266|	|237873
~~2267|	|236410
~~2268|	|236410
~~2268|	|264644
~~2268|	|264645
~~2268|	|264647
~~2268|	|264651
~~2268|	|264662
~~2268|	|264671
~~2268|	|264685
~~2268|	|264700
~~2268|	|265513
~~2268|	|265576
~~2268|	|265577
~~2268|	|265580
~~2268|	|265581
~~2268|	|265582
~~2268|	|265583
~~2268|	|266320
~~2268|	|266329
~~2268|	|266330
~~2268|	|266331
~~2268|	|271958
~~2268|	|271961
~~2269|	|242696
~~2269|	|243629
~~2269|	|243686
~~2269|	|244490
~~2269|	|244880
~~2270|	|245065
~~2270|	|245773
~~2271|	|242265
~~2272|	|242265
~~2273|	|242265
~~2274|	|242696
~~2274|	|243686
~~2275|	|243629
~~2275|	|244490
~~2275|	|244880
~~2275|	|245065
~~2276|	|245773
~~2277|	|242265
~~2277|	|262526
~~2278|	|242265
~~2278|	|262526
~~2278|	|264642
~~2278|	|264650
~~2278|	|264658
~~2278|	|264668
~~2278|	|264669
~~2278|	|264670
~~2278|	|264697
~~2278|	|264699
~~2279|	|261657
~~2280|	|261657
~~2280|	|264632
~~2281|	|261657
~~2282|	|261657
~~2283|	|261657
~~2284|	|236409
~~2285|	|236409
~~2286|	|236409
~~2286|	|264637
~~2286|	|264640
~~2286|	|264654
~~2286|	|264663
~~2286|	|264664
~~2286|	|264672
~~2286|	|264673
~~2286|	|264674
~~2286|	|264675
~~2286|	|264676
~~2286|	|264678
~~2286|	|264679
~~2286|	|264681
~~2286|	|264684
~~2286|	|264689
~~2286|	|264692
~~2286|	|264693
~~2286|	|264701
~~2286|	|264702
~~2286|	|264703
~~2286|	|264704
~~2286|	|264705
~~2286|	|264706
~~2286|	|264707
~~2286|	|264708
~~2286|	|264709
~~2286|	|264710
~~2286|	|264711
~~2286|	|264712
~~2286|	|264713
~~2286|	|264714
~~2286|	|264715
~~2286|	|264716
~~2286|	|264717
~~2286|	|264718
~~2286|	|264719
~~2286|	|264722
~~2286|	|264723
~~2286|	|264724
~~2286|	|264725
~~2287|	|247872
~~2287|	|250577
~~2287|	|252254
~~2288|	|248658
~~2289|	|247841
~~2290|	|247844
~~2290|	|247845
~~2290|	|247846
~~2290|	|247847
~~2290|	|247848
~~2290|	|247849
~~2290|	|247850
~~2290|	|247851
~~2290|	|247852
~~2290|	|247853
~~2290|	|247854
~~2290|	|247855
~~2290|	|247870
~~2290|	|247872
~~2290|	|248658
~~2290|	|250577
~~2290|	|251615
~~2290|	|252254
~~2290|	|264655
~~2290|	|264667
~~2290|	|264680
~~2290|	|264683
~~2290|	|264686
~~2290|	|264687
~~2290|	|264688
~~2290|	|264718
~~2290|	|291748
~~2291|	|247844
~~2291|	|247845
~~2291|	|247846
~~2291|	|247847
~~2291|	|247848
~~2291|	|247849
~~2291|	|247850
~~2291|	|247851
~~2291|	|247852
~~2291|	|247853
~~2291|	|247854
~~2291|	|247855
~~2291|	|247868
~~2291|	|247869
~~2291|	|247870
~~2291|	|247872
~~2291|	|248658
~~2291|	|250577
~~2291|	|251615
~~2291|	|252254
~~2291|	|264655
~~2291|	|264667
~~2291|	|264680
~~2291|	|264683
~~2291|	|264718
~~2292|	|248658
~~2293|	|247872
~~2293|	|250577
~~2293|	|252254
~~2294|	|247870
~~2294|	|247872
~~2294|	|248658
~~2294|	|250577
~~2294|	|251615
~~2294|	|252254
~~2295|	|247844
~~2295|	|247845
~~2295|	|247846
~~2295|	|247847
~~2295|	|247848
~~2295|	|247849
~~2295|	|247850
~~2295|	|247851
~~2295|	|247852
~~2295|	|247853
~~2295|	|247854
~~2295|	|247855
~~2295|	|247868
~~2295|	|247869
~~2295|	|247870
~~2295|	|247872
~~2295|	|248658
~~2295|	|250577
~~2295|	|251615
~~2295|	|252254
~~2295|	|264655
~~2295|	|264667
~~2295|	|264680
~~2295|	|264682
~~2295|	|264683
~~2295|	|264686
~~2295|	|264687
~~2295|	|264688
~~2295|	|264696
~~2295|	|264718
~~2295|	|291748
~~2296|	|252379
~~2297|	|252379
~~2298|	|252379
~~2298|	|264632
~~2299|	|252379
~~2299|	|264656
~~2299|	|264694
~~2299|	|264696
~~2300|	|252379
~~2301|	|252379
~~2302|	|252379
~~2303|	|252379
~~2304|	|247856
~~2304|	|247857
~~2304|	|247858
~~2304|	|247859
~~2304|	|247860
~~2304|	|247861
~~2304|	|247862
~~2304|	|247863
~~2304|	|247864
~~2304|	|247865
~~2304|	|247866
~~2304|	|247867
~~2304|	|252379
~~2304|	|264656
~~2304|	|264694
~~2304|	|264696
~~2304|	|271885
~~2304|	|271916
~~2304|	|271917
~~2304|	|271918
~~2304|	|271919
~~2305|	|256683
~~2305|	|257260
~~2305|	|257286
~~2305|	|258912
~~2305|	|259478
~~2305|	|259574
~~2305|	|261530
~~2306|	|259842
~~2306|	|260195
~~2306|	|260632
~~2307|	|256246
~~2307|	|261657
~~2307|	|264632
~~2308|	|256246
~~2309|	|256295
~~2309|	|256487
~~2309|	|256683
~~2309|	|257255
~~2309|	|257286
~~2309|	|258912
~~2309|	|259478
~~2309|	|259574
~~2309|	|259842
~~2309|	|260195
~~2309|	|260632
~~2309|	|261530
~~2310|	|257260
~~2310|	|257286
~~2310|	|259574
~~2311|	|256683
~~2311|	|258912
~~2311|	|259478
~~2312|	|259842
~~2312|	|260195
~~2312|	|260632
~~2312|	|261530
~~2313|	|256246
~~2314|	|256246
~~2314|	|264639
~~2314|	|264643
~~2314|	|264646
~~2314|	|264652
~~2314|	|264653
~~2314|	|264671
~~2314|	|264698
~~2315|	|236409
~~2316|	|131354
~~2316|	|132375
~~2316|	|132933
~~2316|	|133290
~~2316|	|133532
~~2316|	|143615
