~~1221655|	|FB1-P093-1000, FB1-P093-2000, FB1-P093-8000, FB1-P094-1000, FB1-P094-2000, FB1-P094-8000, FB1-P099-4000, FB1-P099-4900, FB1-P099-5000, FB1-P099-6000, FB1-P099-8000, FB1-P099-9000, FB1-P105, FB1-P106, FB1-P107, FB1-P108, FB1-P116
~~1221656|	|ED1-A002-U002, ED1-A002-U003, ED1-A002-U004, ED1-A002-U005, ED1-A002-U006
~~1221657|	|MI1-A002
~~1221658|	|SR1-PLT1-GASP, SR1-PLT1-GDSU
~~1221659|	|UP2-P052-COMS, UP2-P052-DCU2
~~1221660|	|SR1-PLT2-BTXE, SR1-PLT2-SOLU
~~1221661|	|MI1-A002
~~1221662|	|MT1-A002-U410
~~1221663|	|MT1-A002-U410
~~1221664|	|MI1-A002
~~1221665|	|MI1-A001-IFST, MI1-A001-U016, MI1-A001-U027
~~1221666|	|MT1-A001-U020
~~1221667|	|DN1-3003-0002-SIL-02V204
~~1221668|	|MI1-A002-U003, MI1-A002-U007, MI1-A002-U014
~~1221669|	|ED1-A004-U025, ED1-A004-U031, ED1-A004-U034
~~1221670|	|MI1-A002-U020
~~1221671|	|MT1-A001-U350-SPT-TK0450
~~1221672|	|MT1-A003-U190
~~1221673|	|MI1-A001
~~1221674|	|UP2-P052-DCU2-SPH-F0300C1, UP2-P052-DCU2-SPH-F0300C2, UP2-P052-DCU2-SPH-F0300C3, UP2-P052-DCU2-SPH-F0300C4
~~1221675|	|MT1-A001-U100-SMP-J1002
~~1221676|	|MT1-A001-U020
~~1221677|	|MI1-A001-IFST, MI1-A001-U028, MI1-A001-U029
~~1221678|	|MT1-A003-U280
~~1221679|	|SR1-OFFS-TKFM
~~1221680|	|SR1-OFFS-WWTU
~~1221681|	|MT1-A003-U280
~~1221682|	|SR1-PLT3-GEN3
~~1221683|	|MT1-A003-U280
~~1221684|	|FB1-P105, FB1-P106
~~1221685|	|SR1-PLT4-SAP4
~~1221686|	|SR1-PLT3-FRAU
~~1221687|	|SR1-PLT3-FRAU-SIL-L32196
~~1221688|	|MT1-A003-U190
~~1221689|	|MT1-A003-U169
~~1221690|	|SR1-PLT3-FRAU
~~1221691|	|UP2-P057
~~1221692|	|MT1-A003-U174
~~1221693|	|FB1-P107
~~1221694|	|MI1-A005
~~1221695|	|MT1-A003-U170
~~1221696|	|UP2-FACL, UP2-P057
~~1221697|	|MT1-A003-U170
~~1221698|	|SR1-PLT1-HCCU
~~1221699|	|MI1-A001
~~1221700|	|SR1-PLT1-ALKU
~~1221701|	|SR1-PLT1-GASP
~~1221702|	|MT1-A002-U430
~~1221703|	|MT1-A002-U510
~~1221704|	|UP2-P055-DHU1
~~1221705|	|UP2-P055
~~1221706|	|SR1-OFFS-TKFM
~~1221707|	|MI1-A002
~~1221710|	|MI1-A003-IFST, MI1-A003-U026, MI1-A003-U032, MI1-A003-U050
~~1221711|	|SR1-PLT1-GEN1
~~1221712|	|DN1-3003-0010, DN1-3003-0013
~~1221713|	|SR1-PLT1-CRD1
~~1221714|	|FB1-P093-5000
